IMPRESSIONS,REACH,ENGAGED_USERS,LIKES_NEW,DATE
17426,3846,838,10,3/1/15
4994,1245,201,14,3/2/15
7566,1558,198,10,3/3/15
11324,2126,267,21,3/4/15
8898,2166,242,13,3/5/15
5855,1141,128,6,3/6/15
8727,2803,188,9,3/7/15
9557,2407,241,12,3/8/15
8073,2071,193,10,3/9/15
7578,2347,189,11,3/10/15
9126,1800,194,11,3/11/15
10854,1704,189,15,3/12/15
8885,998,147,7,3/13/15
7759,1055,175,10,3/14/15
14795,3571,453,10,3/15/15
14830,3284,391,8,3/16/15
27061,6309,1148,10,3/17/15
16246,3465,518,12,3/18/15
7645,1553,198,11,3/19/15
4131,842,127,7,3/20/15
6446,1093,170,9,3/21/15
10358,1549,255,17,3/22/15
10544,1982,306,13,3/23/15
28653,8816,862,26,3/24/15
22287,7870,573,17,3/25/15
16508,4587,468,23,3/26/15
9175,1815,173,13,3/27/15
5575,1020,136,13,3/28/15
28581,6178,324,12,3/29/15
19800,3833,659,28,3/30/15
19051,4826,742,32,3/31/15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
